dataset,experiment,fig4,fig5d,fig5e,fold,individual,f1,precision,recall
HAR,rf,True,False,False,3,16,0.983401789759947,0.9840503628527185,0.9836294523794523
HAR,rf,True,False,False,3,17,0.9639876522106353,0.9690291262135923,0.9659842183834506
HAR,rf,True,False,False,4,18,0.9290373883170773,0.9419730660108833,0.9359798717505082
HAR,rf,True,False,False,4,19,0.8615037462093067,0.8702409496703782,0.866066814386485
HAR,rf,True,False,False,4,20,0.9378982770986929,0.9499111828171037,0.941188843706435
HAR,rf,True,False,False,4,21,0.969861147136445,0.9734499336146621,0.9692268062645312
HAR,rf,True,False,False,4,22,0.760845698405165,0.8657648054426396,0.7904324642554177
HAR,rf,True,False,False,4,23,0.956581545077691,0.9596144996995025,0.9564559355178274
HAR,svm,True,False,False,1,0,0.9600198511759183,0.9654866916339803,0.9586100554589456
HAR,svm,True,False,False,1,1,0.923599928333256,0.9257935319136797,0.9233791617230179
HAR,svm,True,False,False,1,2,0.929512199884183,0.9396535676531103,0.929427963939199
HAR,svm,True,False,False,1,3,0.9679324659605312,0.9690179219913105,0.9676544520159222
HAR,svm,True,False,False,1,4,0.8996328297622966,0.9350005180280152,0.9064725665686916
HAR,svm,True,False,False,1,5,0.98334376770473,0.983792516120016,0.9840177656515595
HAR,svm,True,False,False,2,6,0.9749602387556645,0.977632961630257,0.9736426460644173
HAR,svm,True,False,False,2,7,0.7959082894883888,0.9003250707790619,0.8090288594982887
HAR,svm,True,False,False,2,8,0.9608424662545038,0.9650079739404727,0.9595008180533123
HAR,svm,True,False,False,2,9,0.9744661976703447,0.9776767650704296,0.9730050160906462
HAR,svm,True,False,False,2,10,0.8989386419961801,0.9295117613326377,0.9011470839909198
HAR,svm,True,False,False,2,11,0.9160517223399233,0.9431705107491165,0.9181656763575599
HAR,svm,True,False,False,3,12,0.9604735205965387,0.9609828992898858,0.9611584746076973
HAR,svm,True,False,False,3,13,0.796310761681671,0.8234790113746552,0.8049447452907548
HAR,svm,True,False,False,3,14,0.6669420080598368,0.865132332675142,0.7086990982847546
HAR,svm,True,False,False,3,15,0.9385558225541389,0.942439742809147,0.939128683918193
HAR,svm,True,False,False,3,16,0.9690118373046279,0.9714433703263251,0.9699326243660983
