dataset,experiment,fig4,fig5d,fig5e,f1_mean,f1_std,prec_mean,prec_std,rec_mean,rec_std
friedlaender_whales,RNN_nogyr,False,True,False,0.6068433056591873,0.19941459490648478,0.6339659919971884,0.1354826466176218,0.6587912150553766,0.2017504261843075
friedlaender_whales,harnet_low_data_nogyr,False,False,True,0.6149870516398471,0.1380763355258725,0.6729865171807267,0.10015799622640749,0.6322615964468945,0.1456330919077151
friedlaender_whales,harnet_random_low_data_nogyr,False,False,True,0.5116922311092748,0.07550146964674305,0.5297328748443195,0.0689362055373044,0.5468768899858257,0.08523814527181478
friedlaender_whales,harnet_unfrozen_low_data_nogyr,False,False,True,0.5651903368881789,0.09227213845437164,0.5739088828829032,0.07567319071841257,0.6108848195466129,0.10589235664867803
friedlaender_whales,RNN_low_data_nogyr,False,False,True,0.4670202917429221,0.2094319434591872,0.521179763820363,0.1400182184486684,0.5098573480261973,0.18700203690434247
friedlaender_whales,wavelet_RNN_low_data_nogyr,False,False,True,0.4476219891934387,0.09372231597307219,0.45721147165119813,0.08646641162007317,0.46564581625026596,0.09596836097451983
friedlaender_whales,CRNN_low_data,False,False,True,0.5412002152208052,0.20896106548955592,0.6024159925408571,0.11484654656789713,0.6084773122437218,0.18729262981832334
friedlaender_whales,rf_low_data,False,False,True,0.5290656100207646,0.16332490462113955,0.6556332033484812,0.11512287436266308,0.5281553878815792,0.15001921077520453
jeantet_turtles,harnet_nogyr,True,True,False,0.7027489283891424,0.08217984860650292,0.6908194222750142,0.08030582057275483,0.8063030334152361,0.09754404369709438
jeantet_turtles,CRNN,True,False,False,0.7292892706434295,0.07954750667171237,0.729748488251129,0.08438868946121497,0.8035946506501195,0.08571591407471231
jeantet_turtles,CNN,True,False,False,0.563464044096776,0.09444289697063527,0.5586077740605132,0.07962252761366595,0.7400430096388407,0.1058442774482406
jeantet_turtles,dt,True,False,False,0.4713764408389927,0.11784106831485111,0.5170440364283726,0.12105267828535743,0.56303235324543,0.13912937537122536
jeantet_turtles,rf,True,False,False,0.5937527390546689,0.08135128151940499,0.8021502275937981,0.0909966287466668,0.6157586408065159,0.13558432395475806
jeantet_turtles,svm,True,False,False,0.5641493441032114,0.06622708299832573,0.5646982022896715,0.059516892098749975,0.7176439044533706,0.11537511035071436
jeantet_turtles,wavelet_dt,True,False,False,0.4382918639641948,0.11979531048896935,0.4658117243232841,0.1284451572353579,0.5447574307872869,0.12604086322322527
