dataset,experiment,fig4,fig5d,fig5e,fold,behavior_class,f1,precision,recall,train_ground_truth_label_counts
HAR,rf,True,False,False,2,LAYING,1.0,1.0,1.0,108945
HAR,rf,True,False,False,2,SITTING,0.9237082713161812,0.968908912481042,0.8825369738339022,101945
HAR,rf,True,False,False,2,STANDING,0.9393242466263064,0.9057200626141404,0.9755180892167193,109515
HAR,rf,True,False,False,2,WALKING,0.8823552064078867,0.810047373258856,0.9688372093023255,98314
HAR,rf,True,False,False,2,WALKING_DOWNSTAIRS,0.7751113585746102,0.9910301131914288,0.636446760846706,85902
HAR,rf,True,False,False,2,WALKING_UPSTAIRS,0.9122323677581864,0.8583490723252972,0.9733338932515853,92711
HAR,rf,True,False,False,3,LAYING,0.9838070181939452,0.9687659636575933,0.9993224932249323,110177
HAR,rf,True,False,False,3,SITTING,0.9036240774278982,0.888859091257375,0.918887876747594,101308
HAR,rf,True,False,False,3,STANDING,0.9203038647059972,0.9517327732450117,0.8908843434534387,111536
HAR,rf,True,False,False,3,WALKING,0.8912262578357946,0.9986845566956064,0.8046464303883331,98376
HAR,rf,True,False,False,3,WALKING_DOWNSTAIRS,0.9182602662503795,0.8541809527651164,0.9927335802353382,86444
HAR,rf,True,False,False,3,WALKING_UPSTAIRS,0.9523748696003916,0.9301368154031688,0.9757023207119176,93600
HAR,rf,True,False,False,4,LAYING,0.9995524445478795,0.9991052895283087,1.0,108828
HAR,rf,True,False,False,4,SITTING,0.8790526256711504,0.8284203102961918,0.9362770493763201,101464
HAR,rf,True,False,False,4,STANDING,0.8682499293186315,0.9283955949039084,0.8154231309031598,111622
HAR,rf,True,False,False,4,WALKING,0.9873459057882276,0.9966624088343153,0.9782019654628543,97237
HAR,rf,True,False,False,4,WALKING_DOWNSTAIRS,0.8526979217918981,0.8854126119112495,0.8223146097880609,85646
HAR,rf,True,False,False,4,WALKING_UPSTAIRS,0.8683378724926942,0.8359168676082214,0.9033752481800132,92348
HAR,svm,True,False,False,1,LAYING,0.9999065403091647,0.9998130980861244,1.0,109998
HAR,svm,True,False,False,1,SITTING,0.9085892413328278,0.9394982141301507,0.8796492659053834,102037
HAR,svm,True,False,False,1,STANDING,0.9204195585242394,0.8970603193978232,0.9450278611230176,109989
HAR,svm,True,False,False,1,WALKING,0.937211616755632,0.9955312094565374,0.8853467800521345,98563
HAR,svm,True,False,False,1,WALKING_DOWNSTAIRS,0.9409228115567055,0.8884364820846905,1.0,87046
HAR,svm,True,False,False,1,WALKING_UPSTAIRS,0.9869642018648123,0.9859280768371678,0.9880025069388486,94186
HAR,svm,True,False,False,2,LAYING,0.999964027483003,1.0,0.9999280575539569,108945
HAR,svm,True,False,False,2,SITTING,0.9161739728678003,0.9728779507785033,0.8657159109377539,101945
HAR,svm,True,False,False,2,STANDING,0.9338089974206948,0.8924638237930593,0.979171057253249,109515
HAR,svm,True,False,False,2,WALKING,0.8875295006136128,0.8017738359201774,0.9938266384778013,98314
HAR,svm,True,False,False,2,WALKING_DOWNSTAIRS,0.8551778242677824,0.9990224231685709,0.7475426324692543,85902
HAR,svm,True,False,False,2,WALKING_UPSTAIRS,0.9581980005905429,0.9625015889157239,0.95393272582203,92711
HAR,svm,True,False,False,3,LAYING,0.9844375277901289,0.9693520140105079,1.0,110177
HAR,svm,True,False,False,3,SITTING,0.8928782099178104,0.8866023663555781,0.8992435343974019,101308
HAR,svm,True,False,False,3,STANDING,0.8996030819519029,0.9266845712911372,0.8740595107565503,111536
HAR,svm,True,False,False,3,WALKING,0.8344980480987036,0.9667783361250698,0.7340596913684925,98376
HAR,svm,True,False,False,3,WALKING_DOWNSTAIRS,0.902058295344661,0.8863050264669954,0.9183816979982186,86444
HAR,svm,True,False,False,3,WALKING_UPSTAIRS,0.859879348166719,0.7802857955353334,0.957555400453673,93600
HAR,svm,True,False,False,4,LAYING,0.9999820900868631,0.9999641808152446,1.0,108828
HAR,svm,True,False,False,4,SITTING,0.8928790433849455,0.8599534900889594,0.9284262543338779,101464
HAR,svm,True,False,False,4,STANDING,0.8850690534052515,0.9236288659793814,0.8495998179266396,111622
HAR,svm,True,False,False,4,WALKING,0.9415100201957434,0.9055997609174792,0.9803858130788207,97237
HAR,svm,True,False,False,4,WALKING_DOWNSTAIRS,0.9398914739514194,0.9696780394041327,0.9118803380179854,85646
HAR,svm,True,False,False,4,WALKING_UPSTAIRS,0.918668705359948,0.930538464802478,0.9070979483785573,92348
HAR,wavelet_dt,True,False,False,1,LAYING,0.841788611574739,0.8752169175511522,0.8108199050360788,109998
HAR,wavelet_dt,True,False,False,1,SITTING,0.7099154862516367,0.69118442401298,0.7296900489396411,102037
HAR,wavelet_dt,True,False,False,1,STANDING,0.7891742924778292,0.7807060468367704,0.7978282611801686,109989
HAR,wavelet_dt,True,False,False,1,WALKING,0.9093478531942308,0.8851397823360441,0.934917311226016,98563
HAR,wavelet_dt,True,False,False,1,WALKING_DOWNSTAIRS,0.8407997289054557,0.7906611148878314,0.8977278209272034,87046
HAR,wavelet_dt,True,False,False,1,WALKING_UPSTAIRS,0.8117214671567056,0.9039169367686645,0.7365923538365118,94186
HAR,wavelet_dt,True,False,False,2,LAYING,0.840777009614872,0.8309270383250782,0.850863309352518,108945
HAR,wavelet_dt,True,False,False,2,SITTING,0.6850026385224274,0.7128234415498835,0.6592718998862344,101945
HAR,wavelet_dt,True,False,False,2,STANDING,0.7907288409333013,0.7739472622090676,0.8082543027748508,109515
